,address,ward,application number,application type,date submitted,status,description,link
82,34 madison ave,ward 11: university-rosedale,21 224660 ste 11 mv,minor variance,12/10/2021,closed,to convert the existing three-storey building into a day nursery by permitting a deficiency of two parking spaces.,http://app.toronto.ca/AIC/index.do?folderRsn=RCJ6vVnluSMP8Qcgi3LkDA%3D%3D
83,909 manning ave,ward 11: university-rosedale,16 178660 000 20 mv,minor variance,22/06/2016,approved,to alter the existing 2½-storey semi-detached dwelling containing one dwelling unit by adding a second dwelling unit.,http://app.toronto.ca/AIC/index.do?folderRsn=bLgeMg63MCCwRcXH4F86Mg%3D%3D
84,17 mc master ave,ward 12: toronto-st. paul's,22 156717 ste 12 mv,minor variance,03/06/2022,accepted,"proposing partial third storey and rear additions, and new front deck",http://app.toronto.ca/AIC/index.do?folderRsn=O9U2ayZZBos4cVWDCBA3yA%3D%3D
85,131 farnham ave,ward 12: toronto-st. paul's,14 263631 ste 22 oz,rezoning,12/12/2014,closed,to allow for the rezoning of the subject lands for 4 blocks of townhouses that are three storeys in height along avenue rd and four storeys in height along oaklands ave. a total 19 townhouse units will be constructed with individual garages. the building at the corner of avenue rd and oaklands ave (the gatekeeper's cottage) will be maintained and renovated for continued resdiential purposes.,http://app.toronto.ca/AIC/index.do?folderRsn=JwZTZwvuxWiMqs1wu2ZHrQ%3D%3D
86,76 poplar plains cres,ward 12: toronto-st. paul's,22 144620 ste 12 co,application for consent,10/05/2022,accepted,proposal to sever the existing lot into 2 parcels. see previous decision18 200993 s53 22 tlab.,http://app.toronto.ca/AIC/index.do?folderRsn=NjfvLSDmOsNLLosA1c1LfA%3D%3D
87,19 poplar plains rd,ward 12: toronto-st. paul's,22 123082 ste 12 mv,minor variance,15/03/2022,approved,"to alter the existing two-and-one-half-storey detached dwelling by constructing first and third storey side and rear additions and a new covered rear patio with skylights above. also, to reconstruct the covered front porch and stairs, the second storey roof terrace, and the front parking pad for two parking spaces. this existing two-unit dwelling will be converted to a one-unit dwelling.",http://app.toronto.ca/AIC/index.do?folderRsn=Kwd8zqgz1lZBT3hpSiwn%2BQ%3D%3D
88,7 rathnelly ave,ward 12: toronto-st. paul's,22 163940 ste 12 mv,minor variance,17/06/2022,accepted,to reconstruct a detached garage to the rear of the existing two-storey semi-detached dwelling.,http://app.toronto.ca/AIC/index.do?folderRsn=7dXBFR1FG%2BFKlWGjXYrUHg%3D%3D
89,74 rathnelly ave,ward 12: toronto-st. paul's,22 116900 ste 12 co,application for consent,24/02/2022,accepted,to obtain consent to sever the existing lot into two.,http://app.toronto.ca/AIC/index.do?folderRsn=tu%2BKDTUPaurSq95zPGkSJw%3D%3D
90,74 rathnelly ave,ward 12: toronto-st. paul's,22 116842 ste 12 mv,minor variance,24/02/2022,accepted,"proposal to demolish the existing house, sever the lot in two new lots; and construct two new semi-detached single family dwelling units, with two storey high and integral garage.",http://app.toronto.ca/AIC/index.do?folderRsn=OkEObMZt%2FlstiU%2Fn79125g%3D%3D
91,74 rathnelly ave,ward 12: toronto-st. paul's,22 116886 ste 12 mv,minor variance,24/02/2022,accepted,"proposal to demolish the existing house, sever the lot in two new lots; and construct two new semi-detached single family dwelling units, with two storey high and integral garage.",http://app.toronto.ca/AIC/index.do?folderRsn=Adhlj7EU6gQ2UxC6uaPkNw%3D%3D
92,206 russell hill rd,ward 12: toronto-st. paul's,18 161483 ste 22 oz,rezoning,18/05/2018,omb appeal,zoning by-law amendment application proposing four 3-storey townhouse units with a total residential gross floor area of 1663m2. a total of 8 vehicular parking spaces will be provided in a below-grade garage.,http://app.toronto.ca/AIC/index.do?folderRsn=%2BQXu5jq6Tn26%2FU7x9yv7ug%3D%3D
93,43 russell hill rd,ward 12: toronto-st. paul's,21 196982 s45 12 tlab,toronto local appeal body,11/08/2021,hearing scheduled,"to alter the existing detached dwelling by constructing a rear addition, altering the interior, and constructing a rooftop terrace.",http://app.toronto.ca/AIC/index.do?folderRsn=Gyn2Kia3iFcIGXjyDdMJNQ%3D%3D
94,43 russell hill rd,ward 12: toronto-st. paul's,21 196314 ste 12 mv,minor variance,10/08/2021,tlab appeal,to alter the existing three-storey detached dwelling by constructing a rear three-storey addition and to construct an accessory structure and playground in the front yard.,http://app.toronto.ca/AIC/index.do?folderRsn=%2FZogNfd4a91Dm5oNl9abEw%3D%3D
95,43 russell hill rd,ward 12: toronto-st. paul's,21 124928 ste 12 mv,minor variance,09/03/2021,tlab appeal,"to alter the existing detached dwelling by constructing a rear addition, altering the interior, and constructing a rooftop terrace.",http://app.toronto.ca/AIC/index.do?folderRsn=Tofyu7rqmwz%2B6aMv7bakCA%3D%3D
96,43 russell hill rd,ward 12: toronto-st. paul's,21 229075 s45 12 tlab,toronto local appeal body,21/10/2021,hearing scheduled,to alter the existing three-storey detached dwelling by constructing a rear three-storey addition and to construct an accessory structure and playground in the front yard.,http://app.toronto.ca/AIC/index.do?folderRsn=7dxFR5UrU82gPBSKIUwOJQ%3D%3D
97,145 st george st,ward 11: university-rosedale,21 155923 ste 11 oz,rezoning,17/05/2021,under review,"zoning by-law amendment application to facilitate the development of the site for a 29-storey residential apartment building having a gross floor area of 23,076 square metres.  a total of 341 residential dwelling units are proposed, of which, 130 rental replacement dwelling units.",http://app.toronto.ca/AIC/index.do?folderRsn=OwuO9yfmmxEGwBUViaMHPg%3D%3D
98,31 tranby ave,ward 11: university-rosedale,22 105925 ste 11 mv,minor variance,20/01/2022,closed,to permit the as-built third storey addition and the rear yard soft landscaping.,http://app.toronto.ca/AIC/index.do?folderRsn=IwAq4LHN4BhkyvT16DEBlA%3D%3D
99,176 walmer rd,ward 11: university-rosedale,21 251794 ste 11 mv,minor variance,28/12/2021,closed,to legalize and to maintain a rear third-storey addition which was constructed without the benefit of a building permit.,http://app.toronto.ca/AIC/index.do?folderRsn=PpX8xIoJJgn75%2F3Sv%2BCT1Q%3D%3D
100,96 wychwood pk,ward 12: toronto-st. paul's,21 245591 ste 12 mv,minor variance,06/12/2021,closed,to alter the existing three-storey detached dwelling by constructing a rear second storey addition and deck.,http://app.toronto.ca/AIC/index.do?folderRsn=OqqvR470UQzCxyTgrFmbwA%3D%3D
